"target","portfolio_class","role","quality_ceiling","docs_access","boot_control","gpu","camera","modem","power","security","debug","firmware","legal_route","cost","availability","replacement","go_no_go","internal_ref","source_doc"
"Pixel 9","Quality phone","Stock-quality oracle for camera/latency/battery baselines","Flagship (imaging, display, power, industrial design)","Closed SoC/modem/ISP; no public TRM","Unlockable bootloader; closed boot ROM/AVB","Mali-G715 MC7 (~940 MHz)","50 MP Samsung GNK (1/1.31 in) + 48 MP UW","Integrated Exynos 5G modem (closed)","Integrated PMIC + 4700 mAh; flagship suspend","Titan M2 SE, Tensor security core, Trusty TEE (closed)","ADB/fastboot; no public JTAG","Signed vendor blobs; not redistributable","Retail purchase; no source/firmware rights; archived route","~$799","In production, retail","Two units kept, one preserved stock","Archived (oracle only) per ADR-0007","ADR-0007; AOS-HW-001; AOS-HW-011","AOS-HW-020-device-catalogue.md"
"Fairphone 6 (Gen. 6)","Quality phone (semi-open)","Repairable semi-open quality and vendor-cooperation comparator","Upper-mid (Snapdragon 7s Gen 3, Sony LYT-700C 50 MP)","Partial (repair docs, Android BSP); no SoC TRM","Unlockable bootloader (OEM); no eFuse detail","Adreno (Snapdragon 7s Gen 3)","50 MP Sony LYT-700C + 13 MP UW; 32 MP front","Snapdragon X-series 5G (integrated)","4415 mAh, 30 W, removable battery","Qualcomm SecureBoot/QSEE (closed); no hardware kill switches","ADB/fastboot; test points undocumented","Qualcomm blobs; limited redistribution","Retail; repair rights strong, silicon rights none","EUR599 / $899","In production; long support pledge","Modular OEM spares (strong)","Hold (comparator; blob wall)","AOS-HW-011 (AOS-OPEN-095)","AOS-HW-020-device-catalogue.md"
"PinePhone Pro","Open phone","Phone-form-factor Linux laboratory (power, touch, sensors, isolated modem)","Low (RK3399S, 13 MP IMX258, weak power)","Good (schematics, RK3399 TRM community-held)","Full - open U-Boot, SPI/eMMC/SD boot select","Mali-T860 MP4","13 MP Sony IMX258 rear; 8 MP OV8858 front","Quectel EG25-G, USB, galvanically isolated","Removable 3000 mAh; immature suspend","No secure element; open minimal secure boot","UART on headphone/pogo; test points published","Mostly open; RK blobs minimal","Community hardware; fully publishable","~$399 (Explorer)","Reported discontinued 2025 (unverified)","Spare mainboard held; scarce","Spares-only (reported discontinued; laboratory use)","AOS-HW-001; AOS-HW-011 (AOS-OPEN-094)","AOS-HW-020-device-catalogue.md"
"Khadas VIM3","Documented board","Documented A311D bring-up target with accessible boot/debug","Development-grade (Mali-G52 MP4, 5 TOPS NPU)","Good (Amlogic datasheet under terms; Khadas docs)","Full - documented boot modes, maskrom recovery","Mali-G52 MP4 (~800 MHz)","Dual MIPI-CSI (external modules)","None onboard; M.2 LTE option","DC/USB-C; no battery subsystem","No mobile SE; standard ARM TrustZone","UART header, USB burning, published test points","U-Boot + Amlogic BL blobs; redistributable BSP","Retail; publishable; datasheet under terms","from ~$169","In production, retail","Second unit; readily re-orderable","Go (documented native bring-up)","AOS-HW-011 (AOS-OPEN-093)","AOS-HW-020-device-catalogue.md"
"Khadas VIM4","Documented / performance board","A311D2 bring-up with stronger GPU and HDMI-in","Development-grade (Mali-G52 MP8, 3.2 TOPS NPU)","Partial (A311D2 doc thinner; Khadas docs)","Full - maskrom recovery, documented boot","Mali-G52 MP8 (~800 MHz)","MIPI-CSI + 4K HDMI-in","None onboard; M.2 option","DC/USB-C; no battery subsystem","Standard TrustZone; thinner secure-boot docs","UART header, USB burning","U-Boot + Amlogic blobs; BSP heavier","Retail; publishable","~$200+ (class)","In production, retail","Re-orderable","Hold (behind VIM3; thinner mainline)","AOS-HW-011","AOS-HW-020-device-catalogue.md"
"NXP i.MX 8M Plus","Documented board","First documentation-first native target and camera-ISP track","Industrial (dual ISP, 2.3 TOPS NPU, GC7000UL)","Excellent - public RM, datasheet, EVK design files","Full - documented boot fuses, serial download (UUU)","GC7000UL (OpenGL ES 3.1, Vulkan)","Dual ISP, two MIPI-CSI (up to 4K)","None onboard; external modem","PMIC per board; documented low-power modes","HAB secure boot, CAAM crypto, documented","JTAG + UART on EVK; full test-point map","Redistributable NXP firmware; signed-boot documented","Industrial retail; full source/firmware rights","~$400 EVK (TBD exact SKU)","Production to >=2036 (industrial)","SoM/board second sources (Variscite, Toradex)","Go (primary documented board / camera-ISP)","AOS-HW-011 (AOS-OPEN-091)","AOS-HW-020-device-catalogue.md"
"Rockchip RK3588 (Radxa ROCK 5B)","Performance board","Native graphics, media, multicore, high-bandwidth I/O scaling","High compute (8-core, Mali-G610, 6 TOPS, 8K)","Good (TRM available; Radxa open schematics)","Full - maskrom, SPI/eMMC/SD, documented","Mali-G610 MP4","Multi-lane MIPI-CSI; strong ISP throughput","None onboard; M.2/USB modem","DC/USB-C PD; no battery subsystem","ARM TrustZone; RK secure boot (partial docs)","UART, maskrom over USB; open board files","U-Boot; RK DDR/BL blobs; ISP partly closed","Retail; open board files; publishable","$79-$139","In production, wide retail","Multiple vendors (Radxa, others)","Go (performance track)","AOS-HW-011 (AOS-OPEN-092)","AOS-HW-020-device-catalogue.md"
"StarFive VisionFive 2 (JH7110)","Documented board (RISC-V)","Second-ISA credibility target (RISC-V portability evidence)","Low-mid (SiFive U74 quad, IMG BXE-4-32)","Good (JH7110 TRM public; open board files)","Full - open U-Boot/OpenSBI, documented flash","IMG BXE-4-32 MC1 (OpenCL 3.0, Vulkan 1.2)","1x MIPI-CSI (basic)","None onboard; USB/M.2 modem","DC; no battery subsystem","RISC-V PMP; secure element optional/absent","UART header; open bring-up","Open OpenSBI/U-Boot; IMG GPU blob","Retail; fully open; publishable","~$46-$100 by RAM","In production, retail","Re-orderable; Milk-V alt exists","Hold (ISA-portability spike, off critical path)","AOS-HW-011","AOS-HW-020-device-catalogue.md"
"Custom carrier board (CM5-class)","Future contract device","Design option: interim carrier for the demo brick, then custom PCB","Depends on chosen compute + sensors","By design - we own schematics/BOM/DT","By design - chosen SoC documented chain","Inherits compute module (e.g. CM5 VideoCore VII)","2x MIPI-CSI broken out (IMX585/IMX283/CM3)","M.2/mini-PCIe for Quectel/SIMCom + eUICC","Li-ion + BMS/UPS, USB-C PD (AOS-HW-019)","Inherits compute + external SE (e.g. PN7150/eUICC)","By design - JTAG/UART broken out on carrier","Inherits chosen compute module firmware","We own design; NRE + fab; contract path per AOS-HW-016","Board NRE + BOM (AOS-HW-018A)","Build-to-order","We hold gerbers/BOM; refab at will","Design option (see AOS-HW-018)","AOS-HW-017; AOS-HW-018; AOS-HW-018A; AOS-HW-019; RES-011","AOS-HW-020-device-catalogue.md"
"Sony IMX585 (sensor)","Component","Demo showcase / documented-ISP low-light 4K sensor","1/1.2 in STARVIS 2, 8.29 MP, 2.9 um","Register interface via NDA/module vendors; flyer public","N/A (sensor)","N/A","1/1.2 in, 3840x2160, 8.29 MP, 2.9 um, STARVIS 2, up to 90 fps","N/A","3.3 V analog / 1.1 V digital / 1.8 V IF","N/A (sensor)","N/A","Sensor register init tables (module BSP)","Module purchase; NDA for full register set","Module ~$50-$150 (class, TBD)","Framos/e-con/module vendors, in production","Interchangeable module vendors","Component (camera-lab candidate)","AOS-HW-006; AOS-HW-011","AOS-HW-020-device-catalogue.md"
"Sony IMX283 (sensor)","Component","High-resolution documented 1 in sensor for bench/showcase","Type 1 (1 in), 20.3 MP, 2.4 um","Datasheet via distributors; module docs public","N/A (sensor)","N/A","Type 1 (1 in), 5496x3672, 20.3 MP, 2.4 um, up to 60 fps full","N/A","2.9 V analog / 1.2 V digital / 1.8 V IF","N/A (sensor)","N/A","Sensor register init tables (module BSP)","Module purchase; datasheet via distributors","Module ~$60-$200 (class, TBD)","Framos/Kurokesu/module vendors, in production","Interchangeable module vendors","Component (camera-lab candidate)","AOS-HW-006; AOS-HW-011","AOS-HW-020-device-catalogue.md"
