task_id,reference_type,reference
AOS-DOCS-000,spec,AOS-META-002#document-contract
AOS-DOCS-001,spec,AOS-META-004#target-layout
AOS-DOCS-001,spec,AOS-META-002#document-contract
AOS-DOCS-002,spec,AOS-META-001#xref-syntax
AOS-DOCS-002,spec,AOS-META-001#publishing-flow
AOS-DOCS-003,spec,AOS-META-003#claim-discipline
AOS-DOCS-003,spec,AOS-GOV-001#change-types
AOS-DOCS-004,spec,AOS-RES-002#source-register
AOS-DOCS-004,spec,AOS-META-003#source-record
AOS-DOCS-005,spec,AOS-RES-003#claim-states
AOS-DOCS-005,spec,AOS-META-003#claim-discipline
AOS-DOCS-006,spec,AOS-PLAN-009#canonical-schema
AOS-DOCS-006,spec,AOS-PLAN-008#import-flow
AOS-DOCS-007,spec,AOS-META-001#validation
AOS-DOCS-007,spec,AOS-PLAN-009#validation
AOS-DOCS-008,spec,AOS-PLAN-002#gantt
AOS-DOCS-008,spec,AOS-PLAN-008#gantt-in-linear
AOS-DOCS-009,spec,AOS-HW-009#budget-scenarios
AOS-DOCS-009,spec,AOS-PLAN-005#top-risks
AOS-DOCS-009,spec,AOS-PLAN-006#technical-gates
AOS-DOCS-010,spec,AOS-BRIEF#executive-decision
AOS-DOCS-010,spec,AOS-README#start-here
AOS-DOCS-011,spec,AOS-META-001#publishing-flow
AOS-DOCS-011,spec,AOS-META-004#generated-artifacts
AOS-DOCS-012,spec,AOS-GOV-001#release-baseline
AOS-DOCS-012,spec,AOS-MANIFEST#validation-status
AOS-DOCS-013,spec,AOS-PLAN-008#agent-rules
AOS-DOCS-013,spec,AOS-GOV-001#release-baseline
AOS-DOCS-020,spec,AOS-SRC-README#immutability
AOS-DOCS-020,spec,AOS-RES-005#authority
AOS-DOCS-020,source,AOS-SRC-NINDEX
AOS-DOCS-021,spec,AOS-SRC-N001#thesis
AOS-DOCS-021,spec,AOS-SRC-N002#downstream
AOS-DOCS-021,source,AOS-SRC-N001
AOS-DOCS-021,source,AOS-SRC-N002
AOS-DOCS-022,spec,AOS-RES-005#authority
AOS-DOCS-022,spec,AOS-RES-005#conflicts
AOS-DOCS-022,source,AOS-SRC-NINDEX
AOS-DOCS-022,claim,CLM-001
AOS-DOCS-023,spec,AOS-META-001#xref-syntax
AOS-DOCS-023,spec,AOS-VAL-003#checks
AOS-DOCS-024,spec,AOS-PLAN-011#volumes
AOS-DOCS-024,spec,AOS-PLAN-011#definition-of-done
AOS-DOCS-025,spec,AOS-PLAN-010#phase-table
AOS-DOCS-025,spec,AOS-PLAN-010#gates
AOS-DOCS-026,spec,AOS-PLAN-015#weekly
AOS-DOCS-026,spec,AOS-VAL-003#review-status
AOS-DOCS-027,spec,AOS-GLOSSARY#how-to-use
AOS-DOCS-027,spec,AOS-VAL-003#checks
AOS-DOCS-028,spec,AOS-META-001#publishing-flow
AOS-DOCS-028,spec,AOS-VAL-003#publication
AOS-DOCS-029,spec,AOS-PLAN-009#canonical-schema
AOS-DOCS-029,spec,AOS-VAL-003#checks
AOS-DOCS-029,spec,AOS-RES-010#matrix
AOS-DOCS-029,experiment,EXP-109
AOS-DOCS-030,spec,AOS-VAL-002#integrity
AOS-DOCS-030,spec,AOS-ARCH-018#taint
AOS-DOCS-031,spec,AOS-VAL-003#publication
AOS-DOCS-031,spec,AOS-PLAN-016#workflow
AOS-DOCS-032,spec,AOS-PLAN-014#reconciliation
AOS-DOCS-032,spec,AOS-PLAN-009#validation
AOS-DOCS-033,spec,AOS-SRC-NINDEX#digests
AOS-DOCS-033,spec,AOS-RES-002#source-register
AOS-DOCS-034,spec,AOS-VAL-003#editorial
AOS-DOCS-034,spec,AOS-META-002#document-contract
AOS-DOCS-035,spec,AOS-BRIEF#executive-decision
AOS-DOCS-035,spec,AOS-PLAN-013#first-30
AOS-CORE-000,spec,AOS-ARCH-002#kernel-scope
AOS-CORE-001,spec,AOS-ARCH-002#kernel-objects
AOS-CORE-001,spec,AOS-ARCH-004#capability-semantics
AOS-CORE-001,spec,AOS-ADR-0001#decision
AOS-CORE-001,source,SRC-001
AOS-CORE-001,source,SRC-002
AOS-CORE-001,source,SRC-003
AOS-CORE-001,source,SRC-007
AOS-CORE-001,source,SRC-008
AOS-CORE-002,spec,AOS-ARCH-002#implementation-language
AOS-CORE-002,spec,AOS-ARCH-015#reproducible-builds
AOS-CORE-010,spec,AOS-ARCH-002#boot-and-architecture
AOS-CORE-010,spec,AOS-ARCH-015#emulation
AOS-CORE-010,claim,CLM-001
AOS-CORE-010,experiment,EXP-001
AOS-CORE-011,spec,AOS-ARCH-002#boot-and-architecture
AOS-CORE-011,spec,AOS-ARCH-001#portability-test
AOS-CORE-011,claim,CLM-002
AOS-CORE-011,experiment,EXP-002
AOS-CORE-012,spec,AOS-ARCH-002#boot-and-architecture
AOS-CORE-012,spec,AOS-ARCH-013#boot-chain
AOS-CORE-013,spec,AOS-ARCH-003#physical-memory
AOS-CORE-013,spec,AOS-ARCH-012#memory-safety
AOS-CORE-014,spec,AOS-ARCH-003#address-spaces
AOS-CORE-014,spec,AOS-ARCH-004#memory-capabilities
AOS-CORE-015,spec,AOS-ARCH-003#process-model
AOS-CORE-015,spec,AOS-ARCH-013#initial-system-image
AOS-CORE-016,spec,AOS-ARCH-003#exceptions-and-interrupts
AOS-CORE-016,spec,AOS-ARCH-003#time
AOS-CORE-017,spec,AOS-ARCH-002#kernel-objects
AOS-CORE-017,spec,AOS-ARCH-004#object-rights
AOS-CORE-018,spec,AOS-ARCH-003#process-model
AOS-CORE-018,spec,AOS-ARCH-003#thread-model
AOS-CORE-020,spec,AOS-ARCH-003#fault-containment
AOS-CORE-020,spec,AOS-ARCH-012#isolation-goals
AOS-CORE-020,claim,CLM-001
AOS-CORE-020,experiment,EXP-003
AOS-CORE-021,spec,AOS-ARCH-003#time
AOS-CORE-021,spec,AOS-ARCH-007#time-service
AOS-CORE-022,spec,AOS-ARCH-003#scheduler
AOS-CORE-022,spec,AOS-ARCH-014#scheduler-energy-contract
AOS-CORE-023,spec,AOS-ARCH-003#synchronization
AOS-CORE-023,spec,AOS-ARCH-003#priority-inversion
AOS-CORE-030,spec,AOS-ARCH-004#capability-semantics
AOS-CORE-030,spec,AOS-ARCH-004#handle-tables
AOS-CORE-031,spec,AOS-ARCH-004#ipc-model
AOS-CORE-031,spec,AOS-ARCH-005#wire-format
AOS-CORE-032,spec,AOS-ARCH-004#delegation-and-attenuation
AOS-CORE-032,spec,AOS-ARCH-004#revocation
AOS-CORE-032,source,SRC-001
AOS-CORE-032,source,SRC-002
AOS-CORE-032,source,SRC-007
AOS-CORE-032,source,SRC-008
AOS-CORE-032,experiment,EXP-004
AOS-CORE-033,spec,AOS-ARCH-004#waiting-and-signals
AOS-CORE-033,spec,AOS-ARCH-007#event-loop
AOS-CORE-034,spec,AOS-ARCH-003#resource-accounting
AOS-CORE-034,spec,AOS-ARCH-010#agent-budgets
AOS-CORE-035,spec,AOS-ARCH-003#aos-model
AOS-CORE-035,spec,AOS-ARCH-003#address-spaces
AOS-CORE-036,spec,AOS-ARCH-003#priority-inversion
AOS-CORE-036,spec,AOS-ARCH-004#ipc-scheduling
AOS-CORE-036,source,SRC-010
AOS-CORE-036,experiment,EXP-005
AOS-CORE-037,spec,AOS-ARCH-006#dma-and-iommu
AOS-CORE-037,spec,AOS-ARCH-012#dma-threat
AOS-CORE-038,spec,AOS-ARCH-015#crash-evidence
AOS-CORE-038,spec,AOS-ARCH-012#diagnostic-data
AOS-CORE-039,spec,AOS-ARCH-015#fuzzing
AOS-CORE-039,spec,AOS-ARCH-002#assurance-boundary
AOS-CORE-040,spec,AOS-GOV-001#api-levels
AOS-CORE-040,spec,AOS-PLAN-006#technical-gates
AOS-PLAT-000,spec,AOS-ARCH-001#portability-boundaries
AOS-PLAT-001,spec,AOS-ARCH-001#native-contract
AOS-PLAT-001,spec,AOS-ARCH-007#service-catalog
AOS-PLAT-002,spec,AOS-ARCH-005#idl-semantics
AOS-PLAT-002,spec,AOS-ARCH-005#service-contract-rules
AOS-PLAT-003,spec,AOS-ARCH-005#bindings
AOS-PLAT-003,spec,AOS-ARCH-005#wire-format
AOS-PLAT-004,spec,AOS-ARCH-005#versioning-policy
AOS-PLAT-004,spec,AOS-GOV-001#api-levels
AOS-PLAT-010,spec,AOS-ARCH-007#service-manager
AOS-PLAT-010,spec,AOS-ARCH-007#service-lifecycle
AOS-PLAT-011,spec,AOS-ARCH-015#observability
AOS-PLAT-011,spec,AOS-ARCH-012#diagnostic-data
AOS-PLAT-012,spec,AOS-ARCH-001#native-contract
AOS-PLAT-012,spec,AOS-ARCH-011#compatibility-policy
AOS-PLAT-012,claim,CLM-003
AOS-PLAT-012,claim,CLM-004
AOS-PLAT-012,experiment,EXP-011
AOS-PLAT-013,spec,AOS-ARCH-007#foundation-services
AOS-PLAT-013,spec,AOS-ARCH-012#identity-and-entropy
AOS-PLAT-014,spec,AOS-ARCH-007#package-model
AOS-PLAT-014,spec,AOS-PROD-003#integration-package
AOS-PLAT-015,spec,AOS-ARCH-013#initial-system-image
AOS-PLAT-015,spec,AOS-ARCH-015#release-evidence
AOS-PLAT-020,spec,AOS-ARCH-006#board-package
AOS-PLAT-020,spec,AOS-HW-004#porting-sequence
AOS-PLAT-021,spec,AOS-ARCH-006#resource-broker
AOS-PLAT-021,spec,AOS-ARCH-004#resource-capabilities
AOS-PLAT-022,spec,AOS-ARCH-006#device-discovery
AOS-PLAT-022,spec,AOS-ARCH-006#driver-binding
AOS-PLAT-023,spec,AOS-ARCH-006#dma-and-iommu
AOS-PLAT-023,spec,AOS-ARCH-006#interrupt-contract
AOS-PLAT-024,spec,AOS-ARCH-006#device-lifecycle
AOS-PLAT-024,spec,AOS-ARCH-014#suspend-resume
AOS-PLAT-030,spec,AOS-ARCH-006#driver-domains
AOS-PLAT-030,spec,AOS-ARCH-007#service-lifecycle
AOS-PLAT-030,source,SRC-009
AOS-PLAT-030,source,SRC-012
AOS-PLAT-030,experiment,EXP-006
AOS-PLAT-031,spec,AOS-ARCH-007#storage-services
AOS-PLAT-031,spec,AOS-ARCH-006#storage-contract
AOS-PLAT-032,spec,AOS-ARCH-009#storage-engine
AOS-PLAT-032,spec,AOS-ARCH-007#storage-services
AOS-PLAT-033,spec,AOS-ARCH-007#network-service
AOS-PLAT-033,spec,AOS-ARCH-012#network-policy
AOS-PLAT-034,spec,AOS-ARCH-006#usb-contract
AOS-PLAT-034,spec,AOS-HW-004#usb-first
AOS-PLAT-035,spec,AOS-ARCH-008#input-service
AOS-PLAT-035,spec,AOS-PROD-005#input-modalities
AOS-PLAT-036,spec,AOS-ARCH-007#audio-service
AOS-PLAT-036,spec,AOS-HW-007#audio-routing
AOS-PLAT-037,spec,AOS-ARCH-008#display-contract
AOS-PLAT-037,spec,AOS-ARCH-008#scene-and-semantics
AOS-PLAT-038,spec,AOS-ARCH-006#gpu-contract
AOS-PLAT-038,spec,AOS-ARCH-008#gpu-acceleration
AOS-PLAT-039,spec,AOS-ARCH-006#camera-contract
AOS-PLAT-039,spec,AOS-HW-006#portable-camera-stack
AOS-PLAT-040,spec,AOS-ARCH-006#cellular-contract
AOS-PLAT-040,spec,AOS-HW-007#separate-capability-gates
AOS-PLAT-041,spec,AOS-ARCH-014#power-service
AOS-PLAT-041,spec,AOS-ARCH-014#suspend-resume
AOS-PLAT-041,spec,AOS-HW-003#power-path
AOS-PLAT-050,spec,AOS-ARCH-007#package-model
AOS-PLAT-050,spec,AOS-PROD-003#integration-package
AOS-PLAT-050,spec,AOS-LEGAL-003#release-gate
AOS-PLAT-051,spec,AOS-ARCH-013#update-model
AOS-PLAT-051,spec,AOS-ARCH-013#rollback
AOS-PLAT-052,spec,AOS-ARCH-013#recovery-environment
AOS-PLAT-052,spec,AOS-PROD-004#failure-and-rollback
AOS-PLAT-060,spec,AOS-ARCH-015#observability
AOS-PLAT-060,spec,AOS-RES-004#evidence-integrity
AOS-PLAT-070,spec,AOS-ARCH-015#emulation
AOS-PLAT-070,spec,AOS-HW-001#qemu-track
AOS-PLAT-080,spec,AOS-ARCH-001#portability-test
AOS-PLAT-080,spec,AOS-ARCH-015#conformance
AOS-PLAT-080,claim,CLM-002
AOS-PLAT-080,claim,CLM-023
AOS-PLAT-080,experiment,EXP-021
AOS-PLAT-081,spec,AOS-ARCH-015#trace-replay
AOS-PLAT-081,spec,AOS-LEGAL-002#artifact-controls
AOS-PLAT-090,spec,AOS-ARCH-015#developer-experience
AOS-PLAT-090,spec,AOS-GOV-002#community-infrastructure
AOS-PLAT-100,spec,AOS-ARCH-020#contract-set
AOS-PLAT-100,spec,AOS-ARCH-020#quality
AOS-PLAT-101,spec,AOS-ARCH-018#audit
AOS-PLAT-101,spec,AOS-ARCH-016#acceptance
AOS-PLAT-102,spec,AOS-ARCH-020#mocking
AOS-PLAT-102,spec,AOS-VAL-002#artifact
AOS-PLAT-103,spec,AOS-VAL-001#portable
AOS-PLAT-103,spec,AOS-ARCH-005#type-system
AOS-PLAT-104,spec,AOS-ARCH-016#conformance
AOS-PLAT-104,spec,AOS-VAL-001#portable
AOS-PLAT-104,claim,CLM-002
AOS-PLAT-104,claim,CLM-023
AOS-PLAT-104,experiment,EXP-021
AOS-PROD-000,spec,AOS-PROD-001#product-contract
AOS-PROD-001,spec,AOS-ARCH-009#entity-model
AOS-PROD-001,spec,AOS-PROD-001#entity-surfaces
AOS-PROD-002,spec,AOS-ARCH-009#provenance
AOS-PROD-002,spec,AOS-PROD-001#entity-surfaces
AOS-PROD-003,spec,AOS-ARCH-009#storage-engine
AOS-PROD-003,spec,AOS-ARCH-009#entity-model
AOS-PROD-010,spec,AOS-PROD-003#action-schema
AOS-PROD-010,spec,AOS-ARCH-010#action-lifecycle
AOS-PROD-011,spec,AOS-PROD-003#integration-package
AOS-PROD-011,spec,AOS-PROD-003#conformance
AOS-PROD-012,spec,AOS-ARCH-010#action-lifecycle
AOS-PROD-012,spec,AOS-PROD-002#replay-and-undo
AOS-PROD-013,spec,AOS-PROD-003#provider-selection
AOS-PROD-013,spec,AOS-ARCH-010#policy-engine
AOS-PROD-020,spec,AOS-ARCH-009#event-log
AOS-PROD-020,spec,AOS-PROD-002#event-envelope
AOS-PROD-021,spec,AOS-ARCH-009#materialized-state
AOS-PROD-021,spec,AOS-PROD-002#replay-and-undo
AOS-PROD-030,spec,AOS-ARCH-009#consistency-models
AOS-PROD-030,spec,AOS-ADR-0005#decision
AOS-PROD-030,claim,CLM-019
AOS-PROD-030,experiment,EXP-061
AOS-PROD-031,spec,AOS-ARCH-009#sync-model
AOS-PROD-031,spec,AOS-PROD-004#backup-bundle
AOS-PROD-040,spec,AOS-PROD-002#capture-boundary
AOS-PROD-040,spec,AOS-ARCH-012#sensitive-data
AOS-PROD-040,claim,CLM-016
AOS-PROD-040,experiment,EXP-060
AOS-PROD-041,spec,AOS-PROD-002#timeline-and-search
AOS-PROD-041,spec,AOS-PROD-002#privacy-controls
AOS-PROD-050,spec,AOS-PROD-001#entity-surfaces
AOS-PROD-050,spec,AOS-ARCH-008#scene-and-semantics
AOS-PROD-051,spec,AOS-PROD-001#intent-box
AOS-PROD-051,spec,AOS-ARCH-010#proposal-and-confirmation
AOS-PROD-052,spec,AOS-PROD-003#widgets
AOS-PROD-052,spec,AOS-ARCH-008#sandboxed-views
AOS-PROD-053,spec,AOS-PROD-005#clipboard-and-selection
AOS-PROD-053,spec,AOS-PROD-001#activity-and-stories
AOS-PROD-060,spec,AOS-PROD-004#migration-flow
AOS-PROD-060,spec,AOS-ADR-0005#decision
AOS-PROD-060,claim,CLM-015
AOS-PROD-060,experiment,EXP-062
AOS-PROD-061,spec,AOS-PROD-004#backup-bundle
AOS-PROD-061,spec,AOS-ARCH-009#backup-classes
AOS-PROD-070,spec,AOS-ARCH-008#scene-and-semantics
AOS-PROD-070,spec,AOS-PROD-005#semantic-tree
AOS-PROD-070,spec,AOS-PROD-005#assistive-services
AOS-PROD-071,spec,AOS-PROD-005#localization
AOS-PROD-071,spec,AOS-PROD-005#input-modalities
AOS-PROD-080,spec,AOS-PROD-001#product-contract
AOS-PROD-080,spec,AOS-VSN-003#product-evidence
AOS-PROD-080,claim,CLM-017
AOS-PROD-080,experiment,EXP-070
AOS-PROD-090,spec,AOS-PROD-001#intent-box
AOS-PROD-090,spec,AOS-ARCH-010#proposal-and-confirmation
AOS-PROD-090,experiment,EXP-071
AOS-PROD-100,spec,AOS-ARCH-010#trust-ladder
AOS-PROD-100,spec,AOS-ARCH-010#evaluation
AOS-PROD-100,claim,CLM-018
AOS-PROD-100,experiment,EXP-073
AOS-PROD-101,spec,AOS-ARCH-010#defense-in-depth
AOS-PROD-101,spec,AOS-ARCH-010#resource-budgets
AOS-PROD-110,spec,AOS-PROD-006#tier-zero
AOS-PROD-110,spec,AOS-PROD-006#tier-one
AOS-PROD-120,spec,AOS-PROD-007#intentbox
AOS-PROD-120,spec,AOS-PROD-007#planning
AOS-PROD-121,spec,AOS-PROD-011#native-first
AOS-PROD-121,spec,AOS-PROD-011#degradation
AOS-PROD-122,spec,AOS-PROD-010#transclusion
AOS-PROD-122,spec,AOS-PROD-010#sidememo
AOS-PROD-123,spec,AOS-PROD-009#ownership
AOS-PROD-123,spec,AOS-PROD-009#agent-view
AOS-PROD-124,spec,AOS-PROD-008#item-model
AOS-PROD-124,spec,AOS-PROD-008#prior-art
AOS-OPEN-000,spec,AOS-HW-001#portfolio-policy
AOS-OPEN-001,spec,AOS-HW-001#target-dossier
AOS-OPEN-001,spec,AOS-TPL-EVIDENCE#identity
AOS-OPEN-002,spec,AOS-HW-009#laboratory-equipment
AOS-OPEN-002,spec,AOS-RES-004#evidence-integrity
AOS-OPEN-003,spec,AOS-HW-009#first-order
AOS-OPEN-003,spec,AOS-HW-009#procurement-controls
AOS-OPEN-010,spec,AOS-HW-001#qemu-track
AOS-OPEN-010,spec,AOS-ARCH-015#emulation
AOS-OPEN-020,spec,AOS-HW-004#beagleplay-track
AOS-OPEN-020,spec,AOS-HW-004#porting-sequence
AOS-OPEN-020,source,SRC-033
AOS-OPEN-020,source,SRC-035
AOS-OPEN-020,claim,CLM-011
AOS-OPEN-020,experiment,EXP-014
AOS-OPEN-021,spec,AOS-HW-004#beagleplay-track
AOS-OPEN-021,spec,AOS-ARCH-006#driver-domains
AOS-OPEN-022,spec,AOS-HW-004#display-path
AOS-OPEN-022,spec,AOS-ARCH-008#display-contract
AOS-OPEN-023,spec,AOS-ARCH-014#measurement
AOS-OPEN-023,spec,AOS-HW-004#power-and-thermal
AOS-OPEN-030,spec,AOS-HW-004#second-soc-track
AOS-OPEN-030,spec,AOS-ARCH-001#portability-test
AOS-OPEN-030,claim,CLM-002
AOS-OPEN-030,claim,CLM-023
AOS-OPEN-030,experiment,EXP-015
AOS-OPEN-031,spec,AOS-HW-004#camera-capable-boards
AOS-OPEN-031,spec,AOS-HW-006#documented-camera-bench
AOS-OPEN-031,source,SRC-034
AOS-OPEN-031,source,SRC-036
AOS-OPEN-032,spec,AOS-HW-004#camera-capable-boards
AOS-OPEN-032,spec,AOS-HW-010#candidate-scorecard
AOS-OPEN-032,source,SRC-037
AOS-OPEN-040,spec,AOS-HW-006#reference-benches
AOS-OPEN-040,spec,AOS-HW-009#camera-lab
AOS-OPEN-040,source,SRC-038
AOS-OPEN-040,source,SRC-039
AOS-OPEN-050,spec,AOS-HW-003#pinephone-pro-role
AOS-OPEN-050,spec,AOS-HW-003#bring-up-sequence
AOS-OPEN-050,source,SRC-029
AOS-OPEN-050,source,SRC-030
AOS-OPEN-050,claim,CLM-010
AOS-OPEN-050,experiment,EXP-020
AOS-OPEN-051,spec,AOS-HW-003#bring-up-sequence
AOS-OPEN-051,spec,AOS-ARCH-006#board-package
AOS-OPEN-052,spec,AOS-HW-003#display-input-audio
AOS-OPEN-052,spec,AOS-PROD-006#tier-two
AOS-OPEN-052,experiment,EXP-022
AOS-OPEN-053,spec,AOS-HW-003#connectivity
AOS-OPEN-053,spec,AOS-ARCH-007#network-service
AOS-OPEN-054,spec,AOS-ARCH-006#sensor-contract
AOS-OPEN-054,spec,AOS-ARCH-012#location-privacy
AOS-OPEN-055,spec,AOS-HW-003#power-path
AOS-OPEN-055,spec,AOS-ARCH-014#measurement
AOS-OPEN-055,experiment,EXP-023
AOS-OPEN-056,spec,AOS-ARCH-013#recovery-environment
AOS-OPEN-056,spec,AOS-HW-003#support-definition
AOS-OPEN-057,spec,AOS-HW-003#modem-role
AOS-OPEN-057,spec,AOS-HW-007#native-cellular-stack
AOS-OPEN-060,spec,AOS-GOV-002#hardware-maintainers
AOS-OPEN-060,spec,AOS-HW-008#community-reference-kit
AOS-OPEN-070,spec,AOS-HW-005#fairphone-track
AOS-OPEN-070,spec,AOS-HW-005#dossier-requirements
AOS-OPEN-070,source,SRC-026
AOS-OPEN-070,source,SRC-027
AOS-OPEN-070,claim,CLM-022
AOS-OPEN-070,experiment,EXP-024
AOS-OPEN-071,spec,AOS-HW-005#sony-track
AOS-OPEN-071,spec,AOS-HW-005#dossier-requirements
AOS-OPEN-071,source,SRC-028
AOS-OPEN-071,claim,CLM-022
AOS-OPEN-071,experiment,EXP-025
AOS-OPEN-072,spec,AOS-HW-003#librem-role
AOS-OPEN-072,spec,AOS-HW-010#candidate-scorecard
AOS-OPEN-080,spec,AOS-HW-010#evidence-updates
AOS-OPEN-080,spec,AOS-PLAN-006#technical-gates
AOS-OPEN-090,spec,AOS-HW-011#candidates
AOS-OPEN-090,spec,AOS-HW-004#documentation-audit
AOS-OPEN-090,source,SRC-087
AOS-OPEN-090,source,SRC-088
AOS-OPEN-091,spec,AOS-HW-011#candidates
AOS-OPEN-091,spec,AOS-HW-012#tracks
AOS-OPEN-091,source,SRC-089
AOS-OPEN-091,source,SRC-090
AOS-OPEN-091,source,SRC-091
AOS-OPEN-092,spec,AOS-HW-011#candidates
AOS-OPEN-092,spec,AOS-HW-013#categories
AOS-OPEN-092,source,SRC-092
AOS-OPEN-092,source,SRC-093
AOS-OPEN-093,spec,AOS-HW-011#candidates
AOS-OPEN-093,spec,AOS-RES-007#dimensions
AOS-OPEN-094,spec,AOS-HW-003#pinephone-pro-role
AOS-OPEN-094,spec,AOS-HW-011#candidates
AOS-OPEN-094,source,SRC-085
AOS-OPEN-094,source,SRC-086
AOS-OPEN-095,spec,AOS-HW-005#dossier-requirements
AOS-OPEN-095,spec,AOS-HW-011#candidates
AOS-OPEN-095,source,SRC-083
AOS-OPEN-095,source,SRC-084
AOS-OPEN-096,spec,AOS-HW-011#selection
AOS-OPEN-096,spec,AOS-ARCH-016#conformance
AOS-CAM-000,spec,AOS-HW-006#quality-definition
AOS-CAM-001,spec,AOS-HW-006#quality-definition
AOS-CAM-001,spec,AOS-RES-003#camera-claims
AOS-CAM-002,spec,AOS-HW-009#camera-lab
AOS-CAM-002,spec,AOS-RES-004#evidence-integrity
AOS-CAM-010,spec,AOS-HW-006#portable-camera-stack
AOS-CAM-011,spec,AOS-HW-006#sensor-and-module
